iteration NAG_constant_time NAG_constant_objective NAG_constant_hpwl NAG_constant_euclidean_norm NAG_scaled-by-sqrt_time NAG_scaled-by-sqrt_objective NAG_scaled-by-sqrt_hpwl NAG_scaled-by-sqrt_euclidean_norm NAG_observed-lipschitz_time NAG_observed-lipschitz_objective NAG_observed-lipschitz_hpwl NAG_observed-lipschitz_euclidean_norm NAG_min-observed-lipschitz_time NAG_min-observed-lipschitz_objective NAG_min-observed-lipschitz_hpwl NAG_min-observed-lipschitz_euclidean_norm NAG_barzilai-borwein_time NAG_barzilai-borwein_objective NAG_barzilai-borwein_hpwl NAG_barzilai-borwein_euclidean_norm NAG_backtracking-line-search_time NAG_backtracking-line-search_objective NAG_backtracking-line-search_hpwl NAG_backtracking-line-search_euclidean_norm GD_constant_time GD_constant_objective GD_constant_hpwl GD_constant_euclidean_norm GD_scaled-by-sqrt_time GD_scaled-by-sqrt_objective GD_scaled-by-sqrt_hpwl GD_scaled-by-sqrt_euclidean_norm GD_observed-lipschitz_time GD_observed-lipschitz_objective GD_observed-lipschitz_hpwl GD_observed-lipschitz_euclidean_norm GD_min-observed-lipschitz_time GD_min-observed-lipschitz_objective GD_min-observed-lipschitz_hpwl GD_min-observed-lipschitz_euclidean_norm GD_barzilai-borwein_time GD_barzilai-borwein_objective GD_barzilai-borwein_hpwl GD_barzilai-borwein_euclidean_norm GD_backtracking-line-search_time GD_backtracking-line-search_objective GD_backtracking-line-search_hpwl GD_backtracking-line-search_euclidean_norm
20 283.2 4.72925 5.54543 1.112817475 303.2 4.78285 5.56717 0.928437595 298.6 4.50555 5.30812 0.1118442425 313.2 4.5084 5.30856 0.07878768 297.5 4.50763 5.3033 0.049425045 445.9 4.53076 5.31025 0.051474725000000006 210.3 9.37369 9.95038 1.1154496575000001 217.0 5.30933 5.99646 1.115696995 209.29999999999995 4.49232 5.30514 0.14682427 217.69999999999996 4.57388 5.32423 0.0566947125 217.60000000000002 4.39306 5.2764299999999995 0.045173239999999996 371.30000000000007 4.58628 5.32631 0.05778954249999999
21 296.09999999999997 9.81564 10.46436 0.688924065 316.9 4.94229 5.715590000000001 0.910087275 311.9 4.49953 5.307729999999999 0.11035993749999999 327.49999999999994 4.50247 5.30724 0.0837122475 311.0 4.50129 5.301550000000001 0.0486464925 466.6 4.525399999999999 5.3087800000000005 0.0509473225 219.5 10.448640000000001 11.02413 1.1152376575 226.6 5.290839999999999 5.9764800000000005 1.12321963 218.39999999999998 4.49602 5.308730000000001 0.1849013425 227.1 4.5724599999999995 5.3238 0.05654188 227.10000000000002 4.39173 5.27612 0.048152799999999996 387.70000000000005 4.58524 5.32594 0.0576661475
22 308.9 4.9103200000000005 5.71986 1.1145181125 330.59999999999997 4.90324 5.68347 0.845940005 325.3 4.49336 5.30531 0.1092566425 341.49999999999994 4.4964900000000005 5.30594 0.089664745 324.59999999999997 4.495 5.29983 0.04812854 487.1 4.51992 5.30729 0.050414652500000004 228.6 9.36889 9.94721 1.11866185 236.49999999999997 5.28829 5.97063 1.1366182025 227.5 4.48761 5.2979 0.049664139999999996 236.59999999999997 4.57106 5.32337 0.056390985 236.60000000000002 4.38673 5.2728 0.043113055 404.40000000000003 4.5842 5.32557 0.0575443475
23 321.70000000000005 9.62182 10.28591 0.7731226499999999 344.2 4.82376 5.6116399999999995 0.8435241450000001 338.8 4.48707 5.30414 0.111843405 355.59999999999997 4.49046 5.3047 0.0955612275 338.09999999999997 4.48865 5.29822 0.04774976 507.9 4.51434 5.30578 0.049877412499999996 237.79999999999998 10.48063 11.05716 1.1149775425 246.3 5.272500000000001 5.95503 1.1279052649999999 236.69999999999996 4.4863 5.29688 0.04775721 245.99999999999994 4.56965 5.32294 0.0562419475 246.10000000000002 4.38627 5.27385 0.0672917 420.8 4.58316 5.3252 0.0574240675
24 334.5 5.0660799999999995 5.88012 1.115228035 357.99999999999994 4.8250399999999996 5.61819 0.9019252725 352.0 4.4807500000000005 5.30217 0.1171379725 369.79999999999995 4.48437 5.30342 0.09291663749999998 351.7 4.48219 5.2965800000000005 0.04738969 528.3 4.50866 5.30424 0.0493363375 246.89999999999998 9.32649 9.90863 1.11546244 255.99999999999994 5.21643 5.89914 1.100242355 245.69999999999993 4.47512 5.2982700000000005 0.1424130475 255.39999999999998 4.5682599999999995 5.32251 0.0560946825 255.60000000000002 4.3855699999999995 5.27225 0.0397557875 437.3 4.582129999999999 5.32484 0.0573052225
25 347.2 9.50624 10.19031 0.8991091225 371.7 4.86656 5.656090000000001 0.7158062675 365.4 4.47448 5.30123 0.11967338 383.9 4.4779 5.301550000000001 0.09001303499999999 365.2 4.47566 5.29492 0.0465094775 549.0 4.50289 5.30269 0.0487922425 255.89999999999998 10.481110000000001 11.060970000000001 1.1147582025 265.8 5.16589 5.849830000000001 1.0717201025 254.59999999999997 4.73883 5.61254 0.633695145 264.7 4.56688 5.322100000000001 0.0559491325 265.2 4.38419 5.2718799999999995 0.0395948225 453.70000000000005 4.58111 5.32449 0.05718775999999999
26 360.0 5.18619 6.00237 1.1120951424999999 385.4 4.6975999999999996 5.5069099999999995 0.8765028100000001 378.90000000000003 4.46817 5.299390000000001 0.1191966475 397.9 4.47138 5.29966 0.089997445 378.49999999999994 4.46918 5.29317 0.0458317525 569.4 4.49704 5.3011099999999995 0.0482459725 265.0 9.31629 9.90058 1.1190135074999998 275.6 5.115959999999999 5.80185 1.0389662775 263.79999999999995 4.90324 5.809139999999999 1.323964525 274.2 4.5655 5.321680000000001 0.055805234999999995 274.50000000000006 4.37247 5.26948 0.040039995 470.1 4.580080000000001 5.32413 0.057071612499999994
27 372.8 9.44304 10.13884 0.939363885 398.99999999999994 4.8177 5.61275 0.662316655 392.3 4.46178 5.29791 0.11923792750000001 412.2 4.46496 5.29795 0.0910112275 392.2 4.46274 5.29148 0.0453528875 590.0 4.49111 5.29951 0.0476984 274.09999999999997 10.52144 11.10249 1.1146161825 285.4 5.06481 5.75382 1.0027774175 272.9 4.46364 5.35882 0.448342975 283.49999999999994 4.56414 5.32127 0.055662932500000005 283.90000000000003 4.370150000000001 5.27238 0.10717198750000001 486.6 4.57907 5.323779999999999 0.056956735
28 385.70000000000005 5.3755500000000005 6.1903500000000005 1.1161297175 412.59999999999997 4.645519999999999 5.45977 0.78828628 405.59999999999997 4.45534 5.29604 0.121905005 426.09999999999997 4.45855 5.29629 0.093303935 405.59999999999997 4.45627 5.289820000000001 0.0449882125 609.7 4.48512 5.2979 0.047150385 283.2 9.26726 9.85509 1.1141869149999999 295.0 5.0164 5.70959 0.9627774450000001 282.0 4.43878 5.29156 0.168196075 292.9 4.56277 5.32086 0.05552217499999999 293.3 4.35169 5.26101 0.0536032275 503.0 4.57804 5.32344 0.056843072499999994
29 398.4 9.21489 9.9201 0.925979215 426.2 4.72443 5.5304 0.78658135 419.0 4.44892 5.29466 0.1255597275 440.29999999999995 4.45218 5.2947299999999995 0.09647246500000001 419.09999999999997 4.44976 5.28817 0.044513432500000005 629.1 4.47907 5.29628 0.046602805 292.29999999999995 10.51046 11.09561 1.11435586 304.6 4.96665 5.6653 0.9189407900000001 291.0 4.4354 5.28217 0.0463525275 302.5 4.56142 5.32045 0.055382915000000005 302.70000000000005 4.3594100000000005 5.28383 0.2413623325 519.4000000000001 4.57704 5.3230900000000005 0.0567305875
