iteration NAG_barzilai-borwein_time_X NAG_barzilai-borwein_time_Y NAG_barzilai-borwein_objective_X NAG_barzilai-borwein_objective_Y NAG_barzilai-borwein_hpwl_X NAG_barzilai-borwein_hpwl_Y NAG_barzilai-borwein_euclidean_norm_X NAG_barzilai-borwein_euclidean_norm_Y
81 218.10000000000002 213.3 3.33014 0.87678 3.88134 1.38414 0.00538031 0.0048810775
82 220.60000000000002 215.90000000000003 3.32866 0.87555 3.88395 1.38719 0.0053330175 0.0048342975
83 223.10000000000002 218.5 3.3272 0.87434 3.88655 1.39025 0.0052868624999999995 0.0047395250000000005
84 225.7 221.10000000000002 3.32574 0.87313 3.88917 1.39333 0.0052409 0.0047027675
85 228.2 223.7 3.3243 0.87194 3.89177 1.39641 0.0051957225 0.004666415
86 230.90000000000003 226.3 3.32287 0.87076 3.89439 1.3995 0.0051522675 0.0046231225
87 233.40000000000003 229.0 3.32145 0.86959 3.897 1.40257 0.0051103375 0.0045531775
88 235.90000000000003 231.60000000000002 3.32003 0.86843 3.89962 1.40565 0.0050689925 0.0044882975
89 238.40000000000003 234.3 3.31863 0.86729 3.90224 1.4087 0.005027879999999999 0.004442715
90 241.0 236.90000000000003 3.31724 0.86616 3.90486 1.41178 0.004987555 0.0044054
91 243.60000000000002 239.60000000000002 3.31586 0.86505 3.90748 1.41483 0.0049484325 0.0043539450000000006
92 246.10000000000002 242.2 3.31449 0.86396 3.9101 1.41791 0.004910154999999999 0.004294632499999999
93 248.60000000000002 244.90000000000003 3.31312 0.86289 3.91271 1.42096 0.0048721275 0.0042489975
94 251.10000000000002 247.5 3.31177 0.86183 3.91534 1.42403 0.0048343299999999995 0.0042208025
95 253.60000000000002 250.2 3.31042 0.8608 3.91796 1.42708 0.0047971725 0.004195925
96 256.2 252.8 3.30908 0.85977 3.92058 1.43015 0.0047608 0.004164595
97 258.7 255.40000000000003 3.30775 0.85877 3.92318 1.4332 0.0047248875 0.004136317499999999
98 261.3 258.2 3.30643 0.85778 3.92579 1.43627 0.0046891525 0.0041151799999999995
99 263.8 260.8 3.30512 0.85679 3.92839 1.43932 0.00465375 0.004082185
100 266.3 263.40000000000003 3.30381 0.85581 3.93099 1.4424 0.0046189975 0.0040691925
101 269.0 266.0 3.30252 0.85484 3.93357 1.44544 0.0045849425000000004 0.004032574999999999
102 271.6 268.6 3.30123 0.85386 3.93616 1.44855 0.0045513975 0.0039985275
103 274.3 271.3 3.29995 0.85288 3.93874 1.45163 0.0045183275 0.0039679925
104 276.90000000000003 274.0 3.29867 0.8519 3.94131 1.45473 0.00448597 0.003924185
105 279.6 276.8 3.29741 0.85093 3.94387 1.45781 0.004454555 0.0038698549999999997
106 282.2 279.5 3.29615 0.84996 3.94643 1.46094 0.0044240975 0.0038531625
107 284.90000000000003 282.2 3.2949 0.84899 3.94898 1.46404 0.004394505 0.003851795
108 287.6 284.90000000000003 3.29366 0.84803 3.95153 1.46717 0.004365825 0.00383487
109 290.2 287.5 3.29243 0.84707 3.95406 1.47026 0.0043382225 0.0037903975
110 292.90000000000003 290.3 3.2912 0.84611 3.95659 1.47338 0.0043117625 0.0037573224999999997
111 295.5 292.90000000000003 3.28998 0.84516 3.9591 1.47645 0.004286355 0.0037426
112 298.2 295.7 3.28877 0.84421 3.9616 1.47955 0.0042618775 0.00373546
113 301.0 298.5 3.28756 0.84326 3.9641 1.48262 0.0042382925 0.0037102325
114 303.6 301.1 3.28636 0.84231 3.96659 1.48571 0.0042155874999999995 0.00367571
115 306.2 303.90000000000003 3.28516 0.84136 3.96908 1.48875 0.0041936575 0.0036520675
116 308.7 306.7 3.28398 0.84042 3.97155 1.49182 0.0041723025 0.0036406575
117 311.3 309.3 3.28279 0.83948 3.97401 1.49485 0.004151352499999999 0.003628615
118 313.90000000000003 312.1 3.28161 0.83855 3.97646 1.4979 0.0041306775 0.0036043575
119 316.40000000000003 314.8 3.28044 0.83761 3.97891 1.5009 0.0041101524999999995 0.00357907
120 319.0 317.6 3.27927 0.83668 3.98135 1.50392 0.0040895925 0.0035626574999999996
121 321.5 320.2 3.27811 0.83576 3.98379 1.50689 0.00406879 0.00355265
