iteration LSE_center_100000_gamma_time LSE_center_100000_gamma_objective LSE_center_100000_gamma_hpwl LSE_center_100000_gamma_euclidean_norm WA_center_100000_gamma_time WA_center_100000_gamma_objective WA_center_100000_gamma_hpwl WA_center_100000_gamma_euclidean_norm LSE_center_1000_gamma_time LSE_center_1000_gamma_objective LSE_center_1000_gamma_hpwl LSE_center_1000_gamma_euclidean_norm WA_center_1000_gamma_time WA_center_1000_gamma_objective WA_center_1000_gamma_hpwl WA_center_1000_gamma_euclidean_norm
51 1239 180.12777 5.28607 0.03148541 1336.6 4.33624 5.26216 0.0365237225 1208.7 6.74944 5.24921 0.062801105 1441.4 5.08154 5.24142 0.0764506475
52 1256.7 180.12249 5.28487 0.0312097325 1356.3 4.33162 5.26071 0.036232035 1226.1 6.74863 5.24859 0.0622531125 1462 5.08089 5.2409 0.0757428025
53 1274.4 180.1172 5.28366 0.030938885 1376.4 4.32705 5.25927 0.03594845 1244 6.74782 5.24798 0.0617064825 1482.4 5.08024 5.2404 0.07499061
54 1292.4 180.11192 5.28244 0.0306729575 1396.1 4.32256 5.25783 0.0356724875 1261.3 6.74702 5.24737 0.061168585 1503.4 5.0796 5.2399 0.07423377
55 1310.4 180.10664 5.28123 0.030412035 1416 4.31811 5.25639 0.035403689999999995 1278.9 6.74622 5.24676 0.060646210000000006 1523.6 5.07897 5.2394 0.07351893
56 1328.2 180.10136 5.28 0.03015616 1434.6 4.31373 5.25495 0.035141635 1296.7 6.74542 5.24616 0.0601440825 1544.8 5.07834 5.23892 0.072879345
57 1346.3 180.09609 5.27877 0.0299053725 1453.8 4.30937 5.25352 0.0348859225 1314.1 6.74462 5.24556 0.0596636875 1565.4 5.07772 5.23845 0.0723174925
58 1364.7 180.09083 5.27755 0.029659690000000002 1472.8 4.30507 5.25209 0.0346361675 1331.9 6.74382 5.24496 0.059202687500000004 1586.2 5.07709 5.23798 0.07180647500000001
59 1382.6 180.08558 5.2763 0.029419102500000002 1491.6 4.3008 5.25065 0.03439202 1349.5 6.74302 5.24436 0.0587562575 1606.4 5.07648 5.23752 0.071310925
60 1400.4 180.08033 5.27506 0.0291835875 1511 4.29657 5.2492 0.034153145 1367 6.74223 5.24376 0.058319535 1627.4 5.07586 5.23705 0.07081043
61 1418.5 180.07509 5.27381 0.028953105 1529.8 4.29237 5.24776 0.033919215 1384.8 6.74143 5.24316 0.057889220000000005 1647.6 5.07526 5.23659 0.0703086075
