iteration LSE_random_100000_gamma_time LSE_random_100000_gamma_objective LSE_random_100000_gamma_hpwl LSE_random_100000_gamma_euclidean_norm LSE_center_100000_gamma_time LSE_center_100000_gamma_objective LSE_center_100000_gamma_hpwl LSE_center_100000_gamma_euclidean_norm LSE_qp_100000_gamma_time LSE_qp_100000_gamma_objective LSE_qp_100000_gamma_hpwl LSE_qp_100000_gamma_euclidean_norm LSE_hpwl_100000_gamma_time LSE_hpwl_100000_gamma_objective LSE_hpwl_100000_gamma_hpwl LSE_hpwl_100000_gamma_euclidean_norm WA_random_100000_gamma_time WA_random_100000_gamma_objective WA_random_100000_gamma_hpwl WA_random_100000_gamma_euclidean_norm WA_center_100000_gamma_time WA_center_100000_gamma_objective WA_center_100000_gamma_hpwl WA_center_100000_gamma_euclidean_norm WA_qp_100000_gamma_time WA_qp_100000_gamma_objective WA_qp_100000_gamma_hpwl WA_qp_100000_gamma_euclidean_norm WA_hpwl_100000_gamma_time WA_hpwl_100000_gamma_objective WA_hpwl_100000_gamma_hpwl WA_hpwl_100000_gamma_euclidean_norm
21 714.9 1328.27326 1307.5547000000001 1.2321785774999998 697.0 180.27484 5.31987 0.0408430525 735.5 178.50551000000002 8.6526 0.01663384 30758.300000000003 179.45868 4.0823 0.0348711375 690.0 1283.0416 1298.5982800000002 1.2771279675 740.1 4.513 5.30954 0.050308477500000004 787.4 3.69915 8.64294 0.036608432499999996 32489.6 3.6098 4.062060000000001 0.0416669925
22 732.5 1296.69123 1275.20751 1.2371746925000002 714.2 180.2708 5.31892 0.0405372325 752.4000000000001 178.50486999999998 8.65023 0.0164434925 30775.6 179.45596999999998 4.0855 0.034612367500000005 708.4 1250.2278999999999 1266.2696700000001 1.2812792050000001 759.8 4.50716 5.308 0.0497652925 806.3 3.69763 8.63994 0.0361858375 32514.1 3.60777 4.06446 0.0413317975
23 749.9000000000001 1264.6027 1242.34033 1.2499431925 731.6 180.26666999999998 5.31796 0.0402290075 769.0 178.50422 8.64781 0.016263465 30792.699999999997 179.45317 4.08881 0.034350185 726.2 1216.90406 1233.44902 1.2943158175 779.7 4.50122 5.30647 0.049220715 825.6 3.6960900000000003 8.63686 0.0357959375 32538.5 3.60569 4.06695 0.04099160500000001
24 767.2 1232.11277 1209.07039 1.2622608249999998 748.8 180.26244 5.3169900000000005 0.039918329999999995 785.9000000000001 178.50355000000002 8.64535 0.016091460000000002 30809.9 179.45031999999998 4.09222 0.034084815000000004 744.8 1183.17381 1200.2336599999999 1.3075358074999999 799.3 4.49519 5.30491 0.0486748475 844.6 3.69453 8.63372 0.035433805 32563.1 3.60358 4.06951 0.040646765
25 784.6 1199.2615 1175.43336 1.2881639225 766.8 180.25812 5.31602 0.039605285000000004 802.4000000000001 178.50288 8.64284 0.015925535 30827.2 179.44740000000002 4.09571 0.033816537499999993 762.8 1149.06146 1166.6563999999998 1.3361830700000001 819.1 4.48909 5.30336 0.04812838 863.9 3.6929499999999997 8.63054 0.03509437 32587.6 3.60142 4.07214 0.040297625
26 801.8 1166.20353 1141.59175 1.3145558325000002 785.3 180.25371 5.31502 0.03929006250000001 819.3 178.50220000000002 8.64029 0.0157640875 30844.5 179.44443 4.09931 0.03354566 780.8 1114.73328 1132.8718 1.3671889824999999 838.8 4.48291 5.301769999999999 0.047582452500000004 883.3 3.6913400000000003 8.62728 0.034773227500000004 32612.300000000003 3.5992100000000002 4.07483 0.0399445475
27 822.9000000000001 1132.9352000000001 1107.5299 1.2427559725000001 803.8 180.24921999999998 5.314019999999999 0.0389729025 835.9 178.50151 8.637690000000001 0.015605787500000001 30861.6 179.4414 4.10299 0.03327249 802.2 1080.1515 1098.841 1.2922211124999998 858.8 4.47669 5.3002199999999995 0.047038365 902.7 3.6897 8.62396 0.03446687749999999 32636.7 3.59697 4.07759 0.039587910000000004
28 841.1 1101.21624 1075.06797 1.0189019975 821.8 180.24466999999999 5.31299 0.0386540325 852.2 178.5008 8.63504 0.015449467500000001 30878.9 179.43831 4.10674 0.0329973275 820.0 1047.24011 1066.47617 1.0737594675 878.5 4.4704 5.298640000000001 0.0464974 922.2 3.68805 8.62059 0.03417262249999999 32661.6 3.59469 4.0804100000000005 0.0392280875
29 859.1 1070.81297 1043.95205 1.0065010025 840.0999999999999 180.24002000000002 5.3119499999999995 0.038333675 868.9000000000001 178.50009 8.63233 0.01529402 30896.2 179.43518 4.11059 0.032720455 838.5 1015.7126 1035.4957 1.0654224175 898.0 4.46409 5.29707 0.045960882499999994 941.4 3.68637 8.617149999999999 0.0338883325 32685.7 3.59237 4.08329 0.038865475000000003
30 877.2 1042.42501 1014.94151 0.9952161625 858.3 180.23533 5.3108699999999995 0.038012035 885.4 178.49937 8.62959 0.01513833 30913.6 179.43200000000002 4.1145000000000005 0.032442162499999996 856.4 986.35113 1006.65829 1.0765151675 917.8 4.45773 5.29547 0.045430504999999996 961.0 3.68467 8.61364 0.033612237499999996 32710.800000000003 3.59004 4.08622 0.038500452500000004
31 895.2 1015.31774 987.25315 0.987493155 876.6 180.23056 5.30978 0.037689352499999995 902.5 178.49864 8.6268 0.0149812225 30930.699999999997 179.42877 4.1184899999999995 0.03216274 874.6 958.33244 979.1462799999999 1.0663296475000001 937.4 4.45135 5.29387 0.044908992499999995 980.2 3.68293 8.61008 0.0333428125 32735.5 3.5876599999999996 4.0892100000000005 0.0381334175
32 913.0 989.3476600000001 960.73704 0.9711329624999999 894.6 180.22573999999997 5.30867 0.037365885 919.2 178.49790000000002 8.62397 0.01482146 30947.9 179.42551 4.12253 0.0318824875 892.6 931.43241 952.73065 1.0434885875 957.2 4.44494 5.29225 0.0444014375 999.5 3.68118 8.606449999999999 0.033078745 32759.3 3.58526 4.09226 0.03776477250000001
33 930.9000000000001 964.35821 935.21157 0.9671197724999999 912.6 180.22086000000002 5.30753 0.03704193 935.7 178.49716 8.62109 0.0146577875 30965.3 179.4222 4.12665 0.0316017175 910.4 905.48269 927.2503 1.0576661450000002 977.0 4.4385200000000005 5.29064 0.043918127499999994 1018.9 3.67941 8.60276 0.032818955000000004 32783.8 3.58284 4.09535 0.037394935000000004
34 948.3 940.2741599999999 910.60991 0.9531399125000001 930.9000000000001 180.21593000000001 5.30637 0.036717795 951.5999999999999 178.49641 8.618179999999999 0.014489025 30982.300000000003 179.41886 4.1308300000000004 0.03132076 929.0 880.42896 902.65376 1.0367004850000001 997.0 4.4321 5.289 0.0434811825 1038.1 3.6776099999999996 8.59902 0.03256259 32807.9 3.5804 4.09848 0.03702431
35 966.1 916.95723 886.76407 0.9512139175 949.0 180.21095 5.305199999999999 0.0363938075 967.9000000000001 178.49567000000002 8.61523 0.0143142 30999.6 179.41549 4.13506 0.0310399325 946.8 856.02876 878.70053 1.0451631075 1016.8 4.42566 5.28739 0.0431397875 1057.6 3.67579 8.59522 0.032309005 32832.0 3.57794 4.101660000000001 0.036653319999999996
36 983.0999999999999 894.36545 863.64589 0.9379249949999999 967.4 180.20594 5.30401 0.0360702875 984.0 178.49491 8.61224 0.0141327225 31016.9 179.41209 4.13936 0.0307595625 965.2 832.32179 855.4296899999999 1.0375870075 1036.5 4.41922 5.28575 0.0430069825 1076.9 3.6739499999999996 8.591370000000001 0.0320576775 32856.3 3.5754599999999996 4.10489 0.03628238
37 1000.6 872.38521 841.11735 0.93553515 985.5 180.20088 5.3027999999999995 0.0357475575 1000.5 178.49415 8.60922 0.013944610000000001 31033.9 179.40866 4.1437 0.030479965 983.2 809.13052 832.6749199999999 1.0406458524999997 1056.3000000000002 4.4128 5.28415 0.04334213 1096.1999999999998 3.67209 8.58746 0.031808145 32880.4 3.5729699999999998 4.10815 0.035911902499999995
38 1018.3 851.00026 819.17385 0.9232585525 1003.9 180.19579 5.30159 0.035425935 1017.2 178.49339 8.60616 0.0137506925 31051.4 179.4052 4.14811 0.030201455 1001.0 786.47866 810.45172 1.0410223449999998 1075.8 4.40638 5.28256 0.0447269775 1115.5 3.67021 8.58351 0.031559945 32904.600000000006 3.5704599999999997 4.11145 0.0355422875
39 1035.4 830.1179099999999 797.70696 0.9216874075000001 1021.9000000000001 180.19067 5.3004 0.035105755 1033.6 178.49263 8.603069999999999 0.013552772499999999 31068.6 179.40172 4.15257 0.029924325 1019.6 764.2504200000001 788.65607 1.0455483775 1097.4 4.39999 5.2810299999999994 0.041850210000000006 1135.0 3.66831 8.5795 0.031312555000000006 32929.4 3.56794 4.11479 0.0351739375
40 1053.2 809.74072 776.72849 0.9127759550000001 1040.4 180.18551 5.29922 0.0347873325 1050.3000000000002 178.49187 8.59995 0.013353635 31085.5 179.39821999999998 4.1570599999999995 0.029648865 1037.4 742.4732200000001 767.30618 1.05464566 1117.1 4.393800000000001 5.27912 0.040446955 1153.9 3.6664 8.57546 0.03106541 32954.2 3.56542 4.11816 0.034807235
41 1070.8000000000002 789.79219 756.15389 0.91284381 1058.9 180.18033 5.2980599999999995 0.0344709975 1067.3000000000002 178.49111 8.596820000000001 0.0131568525 31103.0 179.3947 4.1616 0.0293753475 1055.8 721.0614800000001 746.32752 1.0652653300000001 1137.1 4.38783 5.27725 0.0400505 1173.0 3.66446 8.571359999999999 0.0308179175 32978.600000000006 3.56288 4.12156 0.0344425575
42 1088.3 770.28701 736.00151 0.90995078 1077.0 180.17513000000002 5.29687 0.03415706499999999 1083.8000000000002 178.49035 8.59365 0.012966305 31119.9 179.39116 4.16619 0.029104025 1073.8 700.05367 725.74857 1.08147482 1156.9 4.3820500000000004 5.27566 0.039617005000000004 1192.1 3.6625199999999998 8.56723 0.03056952 33002.5 3.5603499999999997 4.12499 0.03408026
43 1105.9 751.16448 716.20796 0.9155891575 1095.3000000000002 180.16991000000002 5.29568 0.033845845000000006 1100.2 178.4896 8.59048 0.0127854575 31137.300000000003 179.38761 4.17081 0.028835137500000003 1091.6 679.37421 705.50694 1.103287675 1176.8 4.37646 5.27406 0.0392196175 1210.9 3.6605600000000003 8.56306 0.030319755 33027.1 3.5578 4.12845 0.033720690000000005
44 1123.1999999999998 732.44739 696.7970399999999 0.9223167624999999 1113.3 180.16467999999998 5.29448 0.033537625 1117.1 178.48886 8.58729 0.012616597500000002 31154.6 179.38405 4.17546 0.028568910000000003 1110.2 659.0822499999999 685.65098 1.1233099925 1196.9 4.37103 5.2725100000000005 0.038841072500000004 1230.1 3.65858 8.55886 0.030068334999999998 33051.600000000006 3.55525 4.1319300000000005 0.03336417
45 1140.4 714.08554 677.71308 0.936814525 1131.5 180.15943 5.29328 0.033232689999999995 1134.0 178.48811 8.58407 0.0124602025 31171.699999999997 179.38047 4.18016 0.0283055475 1128.2 639.08396 666.09494 1.1461194974999998 1216.6 4.36572 5.27097 0.0384757275 1249.5 3.65659 8.55462 0.029815192499999997 33076.6 3.5527 4.13542 0.03301100750000001
46 1157.8000000000002 696.10806 658.986 0.9484706725 1149.4 180.15417000000002 5.29207 0.032931300000000004 1150.6 178.48737 8.58084 0.012314775000000002 31189.2 179.37687 4.18488 0.028045234999999998 1146.8 619.46034 646.91836 1.162253105 1236.8 4.3605599999999995 5.26945 0.038123157500000004 1268.7 3.65458 8.55034 0.0295605075 33101.1 3.5501500000000004 4.1389499999999995 0.03266149
47 1175.4 678.46066 640.56275 0.964572185 1167.1999999999998 180.1489 5.29087 0.0326337 1167.7 178.48665 8.57759 0.012177182500000001 31206.4 179.37328 4.189629999999999 0.027788147500000002 1165.0 600.11582 628.02554 1.1807666325 1256.5 4.3555 5.26795 0.037782420000000004 1288.1999999999998 3.65257 8.54603 0.0293047125 33124.899999999994 3.54759 4.14248 0.0323158775
48 1192.8 661.18371 622.48688 0.9827187424999999 1184.9 180.14363 5.289680000000001 0.032340114999999996 1184.6 178.48592 8.57434 0.012043397499999999 31223.5 179.36968000000002 4.1944 0.02753444 1183.0 581.14248 609.50674 1.1969593649999999 1276.8 4.35055 5.266500000000001 0.03745277 1307.1999999999998 3.6505400000000003 8.54169 0.0290484425 33149.3 3.54505 4.14604 0.0319744225
49 1210.6 644.23458 604.71351 1.00787255 1202.5 180.13835 5.28847 0.0320507525 1201.5 178.48520000000002 8.57108 0.0119094275 31240.9 179.36606 4.1992 0.02728425 1201.6 562.4623899999999 591.28723 1.2100066775 1296.7 4.34569 5.2650500000000005 0.03713352 1326.4 3.64851 8.537320000000001 0.028792460000000002 33173.1 3.54251 4.1495999999999995 0.031637345000000004
50 1228.1 627.65966 587.29556 1.0263130325 1220.7 180.13306 5.2872699999999995 0.0317657975 1218.0 178.48448000000002 8.567820000000001 0.0117720925 31257.9 179.36245000000002 4.20401 0.027037695 1219.6 544.14679 573.44037 1.2233076150000002 1316.7 4.340920000000001 5.2636 0.0368240325 1345.5 3.64647 8.53293 0.028537530000000005 33197.6 3.5399700000000003 4.15319 0.0313048425
51 1246.7 611.4055 570.1716200000001 1.02776106 1239.0 180.12777 5.2860700000000005 0.03148541 1235.0 178.48376000000002 8.564540000000001 0.011629505 31275.5 179.35883 4.2088600000000005 0.026794875 1238.2 526.13852 555.90828 1.2339444125 1336.6 4.33624 5.26216 0.0365237225 1364.8000000000002 3.64442 8.52852 0.02828422 33222.2 3.5374299999999996 4.1567799999999995 0.0309770975
52 1266.3 595.84083 553.75038 0.8721586075000001 1256.7 180.12249 5.28487 0.0312097325 1251.1 178.48305 8.561259999999999 0.0114812175 31292.5 179.35521 4.21371 0.02655587 1257.7 508.50018 538.7536200000001 1.2161125175 1356.3 4.33162 5.2607099999999996 0.036232034999999996 1384.4 3.64236 8.52409 0.028032705 33246.8 3.53491 4.16038 0.030654265000000003
53 1283.8000000000002 581.0043 538.08366 0.7664229825 1274.4 180.1172 5.283659999999999 0.030938885 1267.7 178.48234 8.55799 0.0113280275 31309.699999999997 179.35158 4.21858 0.02632075 1278.2 491.42656 522.16956 1.039885725 1376.4 4.32705 5.25927 0.03594845 1404.0 3.6403 8.519639999999999 0.0277824325 33270.3 3.53238 4.16399 0.0303364775
54 1301.1999999999998 567.09581 523.38534 0.759191505 1292.4 180.11192 5.28244 0.0306729575 1284.1 178.48165 8.55471 0.0111716075 31327.2 179.34796 4.22346 0.026089554999999997 1296.4 475.26702 506.50868 0.88900559 1396.1 4.32256 5.25783 0.0356724875 1423.3 3.63823 8.51516 0.02753181 33295.899999999994 3.52987 4.1676 0.030023847500000003
55 1319.1999999999998 554.03418 509.59966 0.7532031050000001 1310.4 180.10664 5.281230000000001 0.030412035 1300.8 178.48093999999998 8.55143 0.011014072500000001 31344.1 179.34434 4.22835 0.0258623175 1314.4 460.05960000000005 491.8053 0.8856451875 1416.0 4.31811 5.25639 0.035403689999999995 1442.3 3.63617 8.510670000000001 0.027277842500000003 33320.6 3.52736 4.17122 0.0297164675
56 1336.9 541.69124 496.57313999999997 0.7483553549999999 1328.2 180.10136 5.279999999999999 0.03015616 1317.5 178.48025 8.54815 0.010857572499999999 31361.6 179.34071999999998 4.23325 0.025639045000000003 1333.0 445.95874 478.19427999999994 0.8878668000000001 1434.6 4.31373 5.25495 0.035141635 1461.5 3.6341 8.50617 0.027015864999999997 33345.2 3.52487 4.17483 0.029414402500000002
57 1354.9 530.01115 484.24738 0.744200455 1346.3000000000002 180.09609 5.27877 0.0299053725 1334.5 178.47955 8.54488 0.01070398 31378.699999999997 179.3371 4.23816 0.025419739999999996 1350.8 432.68404999999996 465.40171 0.8935113075000001 1453.8 4.30937 5.25352 0.0348859225 1480.8000000000002 3.63202 8.501660000000001 0.026739695 33368.899999999994 3.52238 4.17845 0.0291177025
58 1372.4 518.93962 472.55804 0.7406762125 1364.7 180.09082999999998 5.27755 0.02965969 1351.8 178.47887 8.54161 0.010554717500000001 31395.9 179.33348 4.24307 0.025204380000000002 1369.2 420.14896999999996 453.33339 0.9026270624999999 1472.8 4.305070000000001 5.25209 0.0346361675 1499.9 3.62995 8.49714 0.026442570000000002 33393.5 3.5199 4.18206 0.028826394999999998
