iteration LSE_100000_gamma_time LSE_100000_gamma_objective LSE_100000_gamma_hpwl LSE_100000_gamma_euclidean_norm LSE_1000_gamma_time LSE_1000_gamma_objective LSE_1000_gamma_hpwl LSE_1000_gamma_euclidean_norm LSE_10_gamma_time LSE_10_gamma_objective LSE_10_gamma_hpwl LSE_10_gamma_euclidean_norm WA_100000_gamma_time WA_100000_gamma_objective WA_100000_gamma_hpwl WA_100000_gamma_euclidean_norm WA_1000_gamma_time WA_1000_gamma_objective WA_1000_gamma_hpwl WA_1000_gamma_euclidean_norm WA_10_gamma_time WA_10_gamma_objective WA_10_gamma_hpwl WA_10_gamma_euclidean_norm
23 687.4 1251.18407 1228.46839 1.1212837 761.0 1243.27663 1243.23491 1.1876528124999999 707.9 1243.28951 1243.28951 1.2021646275 752.8 1223.57951 1240.05357 1.19203529 747.4 1243.2534500000002 1243.27448 1.1981156624999998 791.6 1243.29042 1243.29042 1.2025612074999998
24 702.8 1224.67589 1201.2981 1.11437484 780.8 1215.84346 1215.8001 1.18563668 724.4000000000001 1215.85526 1215.85526 1.2022783725 772.2 1195.81018 1212.69584 1.1898830125 767.2 1215.81767 1215.83965 1.1970488249999998 811.6 1215.85746 1215.85747 1.2018214125
25 718.8 1197.81484 1173.76388 1.1090745225 800.7 1188.00476 1187.95972 1.1810648575 740.5 1188.02045 1188.02045 1.19760865 792.2 1167.6314399999999 1184.94022 1.1859392625 787.4 1187.9794299999999 1188.00242 1.1927238425 831.7 1188.02114 1188.02114 1.197836685
26 734.4 1170.70775 1145.9789799999999 1.1044866375 820.8 1159.8705 1159.82382 1.177483225 756.8 1159.88586 1159.88586 1.1950666725 811.4 1139.16734 1156.91017 1.1835633499999998 807.2 1159.84391 1159.86786 1.1903092575 852.6 1159.8863000000001 1159.8863099999999 1.1951508149999999
27 750.4 1143.32901 1117.9139 1.1020735125 840.8 1131.41411 1131.36582 1.1789770050000001 773.5 1131.4296100000001 1131.4296100000001 1.1968835425000002 831.4 1110.37283 1128.5648800000001 1.183891275 826.9000000000001 1131.3866899999998 1131.41164 1.1916321049999998 872.2 1131.43061 1131.43062 1.1972532550000001
28 766.0 1115.789 1089.6802699999998 1.1010678525 860.9000000000001 1102.763 1102.71321 1.1764786774999998 789.8 1102.78081 1102.7808 1.1945816725 850.6 1081.38258 1100.02903 1.1808560925000002 846.6 1102.73647 1102.76227 1.189276765 892.8 1102.78191 1102.78192 1.1946404675
29 781.6 1088.06698 1061.25146 1.1041558049999998 881.2 1073.8628199999998 1073.8115699999998 1.17905968 806.4000000000001 1073.88077 1073.88077 1.198919175 870.6 1052.14115 1071.25182 1.1873524050000002 866.5 1073.83654 1073.8632 1.1928145675000001 913.0 1073.88127 1073.88128 1.198921485
30 797.6 1060.2794199999998 1032.75128 1.1066884875 901.6 1044.85318 1044.80048 1.1777438275 822.9 1044.8723 1044.8723 1.1973980750000002 890.0 1022.80422 1042.3917099999999 1.1835092375 886.2 1044.82629 1044.85391 1.1929545025 932.8 1044.87521 1044.87521 1.1974444374999997
31 813.5 1032.40185 1004.1525899999999 1.1166686749999999 921.5 1015.7099599999999 1015.65578 1.19137167 839.1 1015.7309499999999 1015.7309399999999 1.2113558475 910.0 993.29493 1013.36623 1.1978437199999998 905.7 1015.68437 1015.71286 1.206124405 953.4 1015.7321000000001 1015.73211 1.21188034
32 829.8 1004.56141 975.5832599999999 1.1284106925000001 941.7 986.5613500000001 986.50594 1.1929910475 855.8 986.5858800000001 986.5858699999999 1.2136059325000002 929.6 963.8002 984.36295 1.2030589425 925.5 986.53757 986.56693 1.2074528325 973.6 986.5881300000001 986.5881300000001 1.2144925275
33 845.4 976.7395099999999 947.01746 1.14492263 962.0999999999999 957.35721 957.30054 1.2135103425000002 872.3 957.3820900000001 957.38208 1.235010925 949.4 934.24133 955.3064400000001 1.2231574875000002 944.9000000000001 957.33293 957.3630400000001 1.2304944425 994.2 957.38518 957.38518 1.2352663325
34 861.4 949.04295 918.57017 1.1716811175 981.7 928.26238 928.2041899999999 1.2413405050000001 888.9000000000001 928.28929 928.28929 1.2608342925 968.8 904.77696 926.35075 1.25138564 964.8 928.24234 928.27328 1.253815325 1014.2 928.29379 928.29379 1.2618736775
